term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq
mulh,0.0296,misogynistic,475,954,1429
burr,0.02,misogynistic,310,498,808
gord,0.0172,misogynistic,258,311,569
brasil,0.0136,misogynistic,257,976,1233
sapat,0.0115,misogynistic,165,114,279
dess,0.0115,misogynistic,241,1155,1396
band,0.0113,misogynistic,172,251,423
vergonh,0.0098,misogynistic,153,271,424
país,0.0086,misogynistic,143,346,489
esquerd,0.0085,misogynistic,131,204,335
pirralh,0.0083,misogynistic,113,3,116
femin,0.0082,misogynistic,125,190,315
porqu,0.0063,misogynistic,131,624,755
presid,0.0063,misogynistic,123,503,626
canalh,0.0059,misogynistic,88,119,207
refugi,0.0059,misogynistic,93,174,267
vagabund,0.0058,misogynistic,100,292,392
sapata,0.0057,misogynistic,81,55,136
comun,0.0057,misogynistic,84,101,185
aind,0.0054,misogynistic,152,1067,1219
branc,0.0053,misogynistic,105,451,556
bolsonar,0.0053,misogynistic,109,512,621
cade,0.0051,misogynistic,74,67,141
filh,0.0051,misogynistic,136,906,1042
govern,0.0051,misogynistic,92,318,410
glob,0.0051,misogynistic,76,96,172
menin,0.005,misogynistic,103,481,584
cham,0.0049,misogynistic,105,536,641
trabalh,0.0049,misogynistic,106,538,644
velh,0.0046,misogynistic,78,208,286
idiot,0.0046,misogynistic,89,372,461
pass,0.0045,misogynistic,137,1043,1180
joic,0.0044,misogynistic,63,42,105
pres,0.0042,misogynistic,71,192,263
defend,0.0042,misogynistic,70,177,247
corrupt,0.0042,misogynistic,64,91,155
dinh,0.0042,misogynistic,76,263,339
ridícul,0.0041,misogynistic,76,286,362
roub,0.004,misogynistic,63,118,181
gent,0.004,misogynistic,164,1498,1662
direit,0.004,misogynistic,78,334,412
ment,0.0039,misogynistic,69,232,301
verm,0.0037,misogynistic,54,55,109
merd,0.0037,misogynistic,111,832,943
pastor,0.0036,misogynistic,50,29,79
volt,0.0036,misogynistic,80,428,508
negr,0.0036,misogynistic,56,99,155
mund,0.0035,misogynistic,92,615,707
contr,0.0034,misogynistic,63,227,290
globolix,0.0034,misogynistic,46,6,52
