term,score,polarity,freq_misogynistic,freq_non_misogynistic,total_freq,log_ratio
pirralh,21.5419,misogynistic,114,3,117,4.5155
fuf,16.9178,misogynistic,114,10,124,3.5039
gord_fei,13.2451,misogynistic,90,16,106,2.8345
mulh_burr,11.6606,misogynistic,66,14,80,2.6535
globolix,10.7976,misogynistic,31,4,35,3.0131
fei_gord,10.0954,misogynistic,69,23,92,2.2273
dia_sapat,9.5461,misogynistic,12,0,12,3.7217
hom_hom,9.4311,misogynistic,27,5,32,2.6973
milici,9.1416,misogynistic,18,2,20,3.0026
sapat,8.7107,misogynistic,176,121,297,1.529
burr_mulh,8.5635,misogynistic,23,5,28,2.5431
pod_gord,8.4023,misogynistic,13,1,14,3.1027
propin,8.3324,misogynistic,22,5,27,2.5006
sapata,7.9749,misogynistic,88,56,144,1.6024
carniç,7.9655,misogynistic,9,0,9,3.4594
esquerdopat,7.6302,misogynistic,37,17,54,1.9041
pod_fei,7.5629,misogynistic,11,1,12,2.9486
bachelet,7.4784,misogynistic,13,2,15,2.6973
fantoch,7.3695,misogynistic,8,0,8,3.354
pastor,7.2714,misogynistic,50,30,80,1.6547
glob_lix,7.1895,misogynistic,19,6,25,2.2067
joic,7.1667,misogynistic,61,41,102,1.5463
feminaz,7.1037,misogynistic,12,2,14,2.6232
piranh,6.947,misogynistic,88,71,159,1.3688
trai,6.8082,misogynistic,36,21,57,1.6767
crápul,6.7295,misogynistic,7,0,7,3.2362
cuid_burr,6.6332,misogynistic,9,1,10,2.7663
demôni,6.6282,misogynistic,28,15,43,1.7515
congress,6.6066,misogynistic,43,29,72,1.5398
cade,6.4401,misogynistic,77,67,144,1.294
traír,6.3197,misogynistic,13,4,17,2.1865
put_aguent,6.2998,misogynistic,10,2,12,2.4561
facist,6.2998,misogynistic,10,2,12,2.4561
vad,6.2754,misogynistic,18,8,26,1.9041
noj_dess,6.2754,misogynistic,18,8,26,1.9041
gord,6.2698,misogynistic,268,319,587,0.9832
saf,6.1744,misogynistic,70,63,133,1.2606
cart_capit,6.1269,misogynistic,8,1,9,2.6609
fei_pod,6.1078,misogynistic,11,3,14,2.2554
luladr,6.1078,misogynistic,11,3,14,2.2554
muçulm,6.0854,misogynistic,33,23,56,1.5051
cromoss,6.0376,misogynistic,6,0,6,3.1027
calhord,6.0376,misogynistic,6,0,6,3.1027
ordin,6.0376,misogynistic,6,0,6,3.1027
biscat,6.0376,misogynistic,6,0,6,3.1027
incompet,5.9847,misogynistic,12,4,16,2.1123
aceit_refugi,5.9847,misogynistic,12,4,16,2.1123
imund,5.9137,misogynistic,24,15,39,1.6031
caduc,5.8664,misogynistic,9,2,11,2.3608
esquerdalh,5.7217,misogynistic,20,12,32,1.6364
isl_aqu,5.5878,misogynistic,7,1,8,2.5431
phot,5.5878,misogynistic,7,1,8,2.5431
leilan,5.5878,misogynistic,7,1,8,2.5431
nojent,5.5626,misogynistic,49,46,95,1.2187
arrot,5.4083,misogynistic,8,2,10,2.2554
emis,5.4083,misogynistic,8,2,10,2.2554
car_gord,5.4083,misogynistic,8,2,10,2.2554
dia_mulh,5.3814,misogynistic,79,88,167,1.0502
verm,5.375,misogynistic,55,56,111,1.1391
badern,5.3174,misogynistic,9,3,12,2.0731
camb,5.3092,misogynistic,20,14,34,1.4933
abutr,5.2831,misogynistic,5,0,5,2.9485
insinu,5.2831,misogynistic,5,0,5,2.9485
pep,5.2831,misogynistic,5,0,5,2.9485
gentalh,5.2414,misogynistic,11,5,16,1.85
sh,5.2289,misogynistic,14,8,22,1.6677
desgovern,5.2258,misogynistic,13,7,20,1.7165
femin,5.1572,misogynistic,150,198,348,0.8808
canalh,5.0551,misogynistic,95,118,213,0.9421
ladr,5.0222,misogynistic,44,46,90,1.1134
dével,5.0106,misogynistic,6,1,7,2.4096
feminazil,5.0106,misogynistic,6,1,7,2.4096
comun,4.9343,misogynistic,83,103,186,0.9433
vai_cuid,4.9221,misogynistic,7,2,9,2.1377
tud_burr,4.9221,misogynistic,7,2,9,2.1377
rebeld,4.9221,misogynistic,7,2,9,2.1377
jaul,4.9221,misogynistic,7,2,9,2.1377
cri_vergonh,4.9221,misogynistic,7,2,9,2.1377
otár,4.9221,misogynistic,7,2,9,2.1377
lésb,4.9016,misogynistic,11,6,17,1.6958
silvi,4.8897,misogynistic,8,3,11,1.9678
vot_ness,4.8897,misogynistic,8,3,11,1.9678
band,4.8884,misogynistic,179,255,434,0.8046
bandid,4.888,misogynistic,10,5,15,1.763
desinform,4.8822,misogynistic,9,4,13,1.85
jument,4.7609,misogynistic,15,11,26,1.4445
podr,4.709,misogynistic,37,40,77,1.0809
burr,4.6979,misogynistic,321,508,829,0.6989
gret,4.6933,misogynistic,22,20,42,1.2478
felici,4.6823,misogynistic,13,9,22,1.4933
imbecil,4.6631,misogynistic,56,68,124,0.9658
pra_cade,4.6416,misogynistic,12,8,20,1.5246
mulh_dia,4.5581,misogynistic,10,6,16,1.6088
gord_pod,4.5581,misogynistic,10,6,16,1.6088
orgulh_heter,4.5161,misogynistic,9,5,14,1.6677
mulh_pra,4.4961,misogynistic,14,11,25,1.38
branc_pod,4.4749,misogynistic,8,4,12,1.7446
devolv_dinh,4.4749,misogynistic,8,4,12,1.7446
nad_contr,4.4567,misogynistic,17,15,32,1.2746
esquerd,4.4412,misogynistic,195,304,499,0.7146
mulh_caus,4.436,misogynistic,7,3,10,1.85
vigar,4.436,misogynistic,7,3,10,1.85
decot,4.436,misogynistic,7,3,10,1.85
pro_infern,4.436,misogynistic,7,3,10,1.85
put_surr,4.4035,misogynistic,6,2,8,2.0041
gayz,4.4035,misogynistic,6,2,8,2.0041
sapata_pra,4.4035,misogynistic,6,2,8,2.0041
negr_vão,4.4035,misogynistic,6,2,8,2.0041
burr_pod,4.4035,misogynistic,6,2,8,2.0041
cans_vergonh,4.4035,misogynistic,6,2,8,2.0041
vão_trabalh,4.4035,misogynistic,6,2,8,2.0041
diz_pastor,4.4035,misogynistic,6,2,8,2.0041
pra_cub,4.4035,misogynistic,6,2,8,2.0041
usa_sai,4.4035,misogynistic,6,2,8,2.0041
repugn,4.4035,misogynistic,6,2,8,2.0041
criat,4.4024,misogynistic,16,14,30,1.282
bac,4.3889,misogynistic,5,1,6,2.2554
ineleg,4.3889,misogynistic,5,1,6,2.2554
barbar,4.3889,misogynistic,5,1,6,2.2554
chil,4.3889,misogynistic,5,1,6,2.2554
homossexu,4.3889,misogynistic,5,1,6,2.2554
pulh,4.3889,misogynistic,5,1,6,2.2554
satan,4.3274,misogynistic,11,8,19,1.4445
pelud,4.3274,misogynistic,11,8,19,1.4445
terror,4.3115,misogynistic,34,40,74,0.9986
evangél,4.2844,misogynistic,14,12,26,1.2999
maric,4.2641,misogynistic,10,7,17,1.4753
social,4.2641,misogynistic,10,7,17,1.4753
sujeit,4.2382,misogynistic,19,19,38,1.1568
ter_pen,4.1963,misogynistic,9,6,15,1.5135
dev_pres,4.1963,misogynistic,9,6,15,1.5135
mulh,4.1572,misogynistic,543,980,1523,0.5672
incentiv,4.123,misogynistic,8,5,13,1.5623
noj,4.0714,misogynistic,65,93,158,0.8032
fal_beste,4.0425,misogynistic,7,4,11,1.6268
cadel,4.0105,misogynistic,13,12,25,1.2309
mandat,3.9971,misogynistic,10,8,18,1.3575
doi_am,3.9523,misogynistic,6,3,9,1.7164
trist_ver,3.9523,misogynistic,6,3,9,1.7164
asquer,3.8954,misogynistic,14,14,28,1.1568
boz,3.8954,misogynistic,14,14,28,1.1568
picaret,3.8469,misogynistic,5,2,7,1.85
siti,3.8469,misogynistic,5,2,7,1.85
aja,3.8469,misogynistic,5,2,7,1.85
fantasi,3.8469,misogynistic,5,2,7,1.85
ladra,3.8469,misogynistic,5,2,7,1.85
hom_mulh,3.8448,misogynistic,11,10,21,1.2438
nad_vid,3.8133,misogynistic,8,6,14,1.4081
ibop,3.8133,misogynistic,8,6,14,1.4081
volt_terr,3.8133,misogynistic,8,6,14,1.4081
tet,3.74,misogynistic,20,24,44,0.9825
corrupt,3.7356,misogynistic,61,93,154,0.7407
beste,3.7151,misogynistic,14,15,29,1.0923
rat,3.7151,misogynistic,14,15,29,1.0923
incompat,3.7145,misogynistic,4,1,5,2.0731
responsabil,3.7145,misogynistic,4,1,5,2.0731
pinic,3.7145,misogynistic,4,1,5,2.0731
fuj,3.7145,misogynistic,4,1,5,2.0731
serp,3.7145,misogynistic,4,1,5,2.0731
intencion,3.7145,misogynistic,4,1,5,2.0731
riqu,3.7051,misogynistic,7,5,12,1.4445
vergonh,3.6731,misogynistic,160,279,439,0.6035
crimin,3.6548,misogynistic,43,63,106,0.7821
hipocris,3.652,misogynistic,27,36,63,0.8781
petralh,3.6482,misogynistic,9,8,17,1.2622
hipócrit,3.6185,misogynistic,28,38,66,0.8606
corj,3.5877,misogynistic,29,40,69,0.8445
vai_pres,3.5808,misogynistic,6,4,10,1.4933
con,3.5808,misogynistic,6,4,10,1.4933
escór,3.5808,misogynistic,6,4,10,1.4933
glob,3.5541,misogynistic,78,128,206,0.6665
refugi,3.5377,misogynistic,108,185,293,0.6224
incit,3.522,misogynistic,10,10,20,1.1568
mulh_bonit,3.522,misogynistic,10,10,20,1.1568
band_corrupt,3.4327,misogynistic,5,3,8,1.5623
artific,3.4327,misogynistic,5,3,8,1.5623
qu_refugi,3.4327,misogynistic,5,3,8,1.5623
gost_burr,3.4327,misogynistic,5,3,8,1.5623
mulh_parec,3.4327,misogynistic,5,3,8,1.5623
porqu_band,3.4327,misogynistic,5,3,8,1.5623
próx_ele,3.4327,misogynistic,5,3,8,1.5623
pers,3.4327,misogynistic,5,3,8,1.5623
rac_invers,3.4327,misogynistic,5,3,8,1.5623
min_fal,3.4327,misogynistic,5,3,8,1.5623
mulh_intelig,3.4327,misogynistic,5,3,8,1.5623
gost_mulh,3.4327,misogynistic,5,3,8,1.5623
oa,3.4327,misogynistic,5,3,8,1.5623
incub,3.4327,misogynistic,5,3,8,1.5623
desequilibr,3.4327,misogynistic,5,3,8,1.5623
bolsonar_precis,3.4327,misogynistic,5,3,8,1.5623
psicopat,3.4221,misogynistic,11,12,23,1.0768
asn,3.4062,misogynistic,9,9,18,1.1568
joyc,3.4062,misogynistic,9,9,18,1.1568
pedófil,3.4062,misogynistic,9,9,18,1.1568
asc,3.4062,misogynistic,9,9,18,1.1568
azed,3.4054,misogynistic,7,6,13,1.2904
bom_band,3.4054,misogynistic,7,6,13,1.2904
bab_ovo,3.4054,misogynistic,7,6,13,1.2904
band_bom,3.4054,misogynistic,7,6,13,1.2904
conden,3.3202,misogynistic,29,43,72,0.7738
parlament,3.3069,misogynistic,10,11,21,1.0698
tom_vergonh,3.3069,misogynistic,10,11,21,1.0698
cretin,3.2702,misogynistic,16,21,37,0.899
defend_band,3.2577,misogynistic,6,5,11,1.311
afund,3.2577,misogynistic,6,5,11,1.311
famíl_tradic,3.2577,misogynistic,6,5,11,1.311
psl,3.2577,misogynistic,6,5,11,1.311
fême,3.2451,misogynistic,4,2,6,1.6677
suvac,3.2451,misogynistic,4,2,6,1.6677
fach,3.2451,misogynistic,4,2,6,1.6677
monic,3.2451,misogynistic,4,2,6,1.6677
enrust,3.2451,misogynistic,4,2,6,1.6677
terês,3.2451,misogynistic,4,2,6,1.6677
priquit,3.2451,misogynistic,4,2,6,1.6677
luladra,3.2451,misogynistic,4,2,6,1.6677
varr,3.2451,misogynistic,4,2,6,1.6677
pênil,3.2451,misogynistic,4,2,6,1.6677
sap,3.2451,misogynistic,4,2,6,1.6677
mulat,3.2451,misogynistic,4,2,6,1.6677
síri,3.2451,misogynistic,4,2,6,1.6677
