term,categoria_sugerida,nome_sugerido,anotador1_eh_misogino,anotador1_categoria,anotador2_eh_misogino,anotador2_categoria,anotador3_eh_misogino,anotador3_categoria,comentarios
canalha,1,Descrédito,,,,,,,
comunista,11,Violência Política Digital,,,,,,,
ladrão,,,,,,,,,
feminista,9,Neossexismo,,,,,,,
bandido,4,Ameaças de Violência,,,,,,,
safar,4,Ameaças de Violência,,,,,,,
congresso,11,Violência Política Digital,,,,,,,
pastor,,,,,,,,,
esquerdista,11,Violência Política Digital,,,,,,,
absurdo,1,Descrédito,,,,,,,
partido,11,Violência Política Digital,,,,,,,
terrorista,11,Violência Política Digital,,,,,,,
sapatão,3,Assédio Sexual,,,,,,,
bando,4,Ameaças de Violência,,,,,,,
imbecil,1,Descrédito,,,,,,,
defender,11,Violência Política Digital,,,,,,,
mentiroso,1,Descrédito,,,,,,,
corrupto,1,Descrédito,,,,,,,
covarde,1,Descrédito,,,,,,,
vagabunda,3,Assédio Sexual,,,,,,,
news,,,,,,,,,
ditadura,11,Violência Política Digital,,,,,,,
demônio,,,,,,,,,
argentina,,,,,,,,,
podre,1,Descrédito,,,,,,,
eleição,11,Violência Política Digital,,,,,,,
satanás,,,,,,,,,
corrupção,11,Violência Política Digital,,,,,,,
limite,,,,,,,,,
esquerda,11,Violência Política Digital,,,,,,,
diabo,,,,,,,,,
cadeia,,,,,,,,,
lei,,,,,,,,,
comunismo,9,Neossexismo,,,,,,,
trabalhador,11,Violência Política Digital,,,,,,,
criatura,2,Estereotipização,,,,,,,
população,11,Violência Política Digital,,,,,,,
nojo,,,,,,,,,
emirado,,,,,,,,,
atacar,4,Ameaças de Violência,,,,,,,
eleger,,,,,,,,,
urgente,11,Violência Política Digital,,,,,,,
eua,,,,,,,,,
pilantra,3,Assédio Sexual,,,,,,,
machista,9,Neossexismo,,,,,,,
venezuela,11,Violência Política Digital,,,,,,,
processar,,,,,,,,,
rabo,8,Objetificação Sexual,,,,,,,
sujo,,,,,,,,,
nojentar,,,,,,,,,
lula,,,,,,,,,
quadrilha,,,,,,,,,
dúvida,,,,,,,,,
luladr,,,,,,,,,
lamentável,1,Descrédito,,,,,,,
derrubar,4,Ameaças de Violência,,,,,,,
marco,,,,,,,,,
militante,11,Violência Política Digital,,,,,,,
